經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.71631001088876,24.241651082521663,31,136.75,華廈(10層含以下有電梯),住商用,"一層,二層,騎樓/六層",3房3廳2衛,有,有,0,"12,880,000",豐原區,113
120.72133684507173,24.243989910779696,46,33.46,透天厝,住家用,全/二層,,無,無,0,"12,500,000",豐原區,113
120.72258140714868,24.251323905224215,32,10.96,公寓(5樓含以下無電梯),住家用,四層/五層,1房1衛,無,無,0,"2,930,000",豐原區,113
120.72202171963556,24.25509709037734,29,9.28,華廈(10層含以下有電梯),住家用,八層/十層,1房1廳1衛,有,有,0,"2,500,000",豐原區,113
120.72202171963556,24.25509709037734,29,9.28,華廈(10層含以下有電梯),住家用,八層/十層,1房1廳1衛,有,有,0,"2,400,000",豐原區,113
120.74148640955701,24.26259857455337,3,69.28,透天厝,住家用,全/四層,5房3廳4衛,無,無,0,"23,500,000",豐原區,113
120.72912825323425,24.229033505737153,7,58.05,透天厝,住家用,全/四層,4房2廳5衛,無,有,0,"20,300,000",豐原區,113
120.72311142337166,24.26123894126858,28,24.75,住宅大樓(11層含以上有電梯),住家用,十層/二十層,2房1廳1衛,有,有,0,"6,200,000",豐原區,113
120.72252135971024,24.251766225845174,27,8.19,住宅大樓(11層含以上有電梯),住家用,七層/十三層,1房1衛,有,有,0,"2,500,000",豐原區,113
120.71998043905468,24.242831679457826,29,30.73,華廈(10層含以下有電梯),住家用,一層/七層,3房2衛,有,有,0,"5,500,000",豐原區,113
120.71998043905468,24.242831679457826,29,24.11,華廈(10層含以下有電梯),住家用,一層/七層,1房1廳,有,有,0,"3,900,000",豐原區,113
120.71967075574993,24.24934117067484,48,210.56,透天厝,住家用,全/四層,20房4廳8衛,無,無,0,"62,000,000",豐原區,113
120.70626231136453,24.24748293977611,1,54.83,透天厝,住家用,全/四層,4房3廳4衛,無,無,0,"25,000,000",豐原區,113
120.74332630577167,24.263513638708947,49,32.81,透天厝,住家用,全/二層,,無,無,0,"4,880,000",豐原區,113
120.70601591344852,24.247572767552267,1,64.71,透天厝,住家用,全/五層,4房3廳4衛,無,無,0,"24,500,000",豐原區,113
120.72252135971024,24.251766225845174,27,16.13,住宅大樓(11層含以上有電梯),住家用,九層/十三層,1房1衛,有,有,0,"2,750,000",豐原區,113
120.72195123148853,24.264866554437955,3,73.75,透天厝,住家用,全/四層,4房3廳5衛,有,無,0,"26,500,000",豐原區,113
120.7296012076909,24.224212727848617,43,34.82,透天厝,住商用,全/二層,4房3廳3衛,無,無,0,"12,500,000",豐原區,113
120.71965528564783,24.238424823163548,35,43.73,透天厝,住家用,全/三層,3房2廳2衛,無,無,0,"16,500,000",豐原區,113
120.7243233379453,24.26099734797689,53,17.91,透天厝,住家用,全/一層,2房2廳1衛,無,無,0,"7,380,000",豐原區,113
120.71813502109516,24.24910356765021,46,390.64,華廈(10層含以下有電梯),商業用,八層/八層,41房41衛,有,有,0,"28,000,000",豐原區,113
120.72952808671616,24.25415352996715,45,64.49,透天厝,住商用,全/三層,3房2廳3衛,無,無,0,"3,400,000",豐原區,113
120.70751138816192,24.2524785071318,25,75.39,透天厝,住家用,全/四層,6房3廳4衛,無,無,0,"15,380,000",豐原區,113
120.73899834830242,24.260788472569573,50,24.20,透天厝,住家用,全/二層,2房2廳2衛,無,無,0,"2,200,000",豐原區,113
120.70170031878807,24.248566602776947,31,29.58,住宅大樓(11層含以上有電梯),住家用,五層/十六層,3房2廳2衛,有,有,0,"6,280,000",豐原區,113
120.71939054126562,24.251381255639576,50,17.64,公寓(5樓含以下無電梯),住家用,"四層,騎樓/四層",2房2廳1衛,無,無,0,"1,500,000",豐原區,113
120.70609502637346,24.24742844350681,1,54.83,透天厝,住家用,全/四層,4房3廳4衛,無,無,0,"25,200,000",豐原區,113
120.74120077919677,24.257740366461544,52,31.58,透天厝,住家用,全/二層,3房2廳1衛,無,無,0,"7,250,000",豐原區,113
120.72441782431281,24.24457338485385,22,19.44,住宅大樓(11層含以上有電梯),住家用,九層/十四層,3房2廳1衛,有,有,0,"6,400,000",豐原區,113
120.70230572497867,24.23808488128041,48,14.52,透天厝,住家用,全/一層,4房2廳2衛,無,無,0,"9,100,000",豐原區,113
120.7293268941062,24.251498575479783,50,32.94,透天厝,住家用,全/二層,5房1廳2衛,無,無,0,"11,000,000",豐原區,113
120.72405725360844,24.238252275024685,31,24.63,華廈(10層含以下有電梯),住家用,一層/五層,3房2廳1衛,有,無,0,"6,000,000",豐原區,113
120.72547078001689,24.244909371678144,36,37.18,透天厝,住家用,全/二層,5房3廳2衛,無,無,0,"16,300,000",豐原區,113
120.70868556615022,24.242837563979894,54,8.26,透天厝,住家用,全/一層,5房1廳2衛,無,無,0,"4,500,000",豐原區,113
120.70061145128213,24.246758630438688,29,71.61,華廈(10層含以下有電梯),住商用,"一層,二層,騎樓/七層",2房2廳2衛,有,有,0,"11,130,001",豐原區,113
